overview,headline,text,sectionLabel,title
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Choose a searchable name."," Think about how people can find your name through search engines like Google. If you use very common words, especially single words like Trouble or Heart, it may be hard for fans to find you online.",Choosing a Stage Name,How to Pick a Stage Name1
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Choose a name that will grow with you."," There can be the appeal of choosing a name that reflects the moment, where you might follow a fad. Also consider where you want to be in 10 or 20 years. Does your stage name suit an older performer just as well as a younger one?


Child performers should consider how their names will grow with them as they get older. Joe Yule called himself Mickey Rooney, a good name for a kid actor. But it was less useful as an adult actor. Similarly Lil’ Bow Wow had to drop “Lil” when he grew up.Choose a name that you won’t get tired of quickly. If you think you might hate your stage name in six months, think of a different moniker.

",Choosing a Stage Name,How to Pick a Stage Name1
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Use a childhood nickname."," You may have been called something other than your real name throughout childhood, and this nickname might be useful as a stage name. For example, Richard Melville Hall was nicknamed Moby by his parents, and he uses this as his stage name.",Using Family Names,How to Pick a Stage Name2
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Use your middle name."," Go with a singular name that is just your middle name, such as the rapper Drake, whose real name is Aubrey Drake Graham.Similarly, Angelina Jolie Voight dropped her last name, moving her middle name to the surname position.

",Using Family Names,How to Pick a Stage Name2
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Use your family tree as inspiration.", Use your great-grandmother’s first name or your great-uncle’s middle name. This can help you retain a connection to your family with your stage name.,Using Family Names,How to Pick a Stage Name2
" Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability. If you are a performer looking to recharge your career or thinking of becoming a performer, take a look at the tips below to learn how you can book more Burlesque Gigs. This article assumes you have already begun working as a burlesque performer and the steps outlined are for the early career to mid-career professional. ","
Know what makes you unique as a performer."," Remember, if you're performing in a saturated market, then you better stand out or as the old Stephen Sondheim song says, ""Gotta Get a Gimmick."" Okay, so you don't have to ""bump it with a trumpet,"" but you should aim to be the best at whatever you do even if what you do has been done by many.

",Steps,How to Get More Burlesque Gigs
" Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability. If you are a performer looking to recharge your career or thinking of becoming a performer, take a look at the tips below to learn how you can book more Burlesque Gigs. This article assumes you have already begun working as a burlesque performer and the steps outlined are for the early career to mid-career professional. ","
Make a list of the shows you want to get booked in."," Once you know which shows you want to work in, take a careful look and see if those shows currently have performers that look like you or offer your skill. Ask yourself it these shows could benefit from your service. If you only do neo-burlesque and you want to work in a venue that only hires classic burlesque, then unless you are going to start doing classic, you may have an uphill battle convincing them that they need to add neo-burlesque to their line up.

",Steps,How to Get More Burlesque Gigs
" Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability. If you are a performer looking to recharge your career or thinking of becoming a performer, take a look at the tips below to learn how you can book more Burlesque Gigs. This article assumes you have already begun working as a burlesque performer and the steps outlined are for the early career to mid-career professional. ","
Let people know you would like to be booked."," Seriously, this may seem silly, but so many performers make the same mistake. They post on Facebook that they are available. They stop by a show and tell a producer, they are available. They wait for the phone to ring or the emails to come in. Sorry, but that doesn't work for actors or models, so why on earth should it work for burlesque performers. Yes, it's good to post on Facebook, but also, contact those shows you listed in the previous step and ask about getting booked. Sure talking to a producer in person is great, but if you are chatting at that producer's show, then chances are they are talking to a lot of people. Follow up with an email letting them know you liked the show and would love to work together.

",Steps,How to Get More Burlesque Gigs
" Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability. If you are a performer looking to recharge your career or thinking of becoming a performer, take a look at the tips below to learn how you can book more Burlesque Gigs. This article assumes you have already begun working as a burlesque performer and the steps outlined are for the early career to mid-career professional. ","
Look back on your career and ask yourself why you entered the business."," Yep, once again, you've got to ask yourself the tough questions. Why did you decide to start doing burlesque? Was it on a dare? Did you have a friend who enjoyed performing and told you to try? Did you want to be the next Dita Von Teese? The next Gypsy Rose Lee? Did you see Christina Aguilera's, ""Burlesque"", and hope to conquer a little nightclub while developing legions of fans? This step is super important because, without it, you can't move on to the next step.

",Steps,How to Get More Burlesque Gigs
" Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability. If you are a performer looking to recharge your career or thinking of becoming a performer, take a look at the tips below to learn how you can book more Burlesque Gigs. This article assumes you have already begun working as a burlesque performer and the steps outlined are for the early career to mid-career professional. ","
Ask yourself what you want to get out of the business."," Do you still want those legions of fans? Are you hoping to make enough money to retire? Do you just want to make some extra money while making new friends? Do you want to simply feel beautiful? Understanding why you want what you want will help you to understand whether you can still get what you want from the business or if you will never get what you want. If you aren't getting what you want out of performing burlesque, then you either need to repeat steps 1-6 or accept that it's time to move on.

",Steps,How to Get More Burlesque Gigs
" This article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo. The word demo is shortened from the word ""demonstration"". A music demo is used to demonstrate your artistic abilities to the A&amp;R representatives of record labels. Many unsigned bands and artists record demos in order to obtain a recording contract. Whether you are a rock band, hip hop artist, singer, rapper, songwriter, producer, or musician,  your music demo submission may get you a record deal  with Phantom City Studio. ","
Choose whether you're going to record your music in your own home studio or a professional recording studio."," Professional quality recordings of your songs are always preferred.

",Steps,How to Get a Record Deal With Phantom City Studio
" This article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo. The word demo is shortened from the word ""demonstration"". A music demo is used to demonstrate your artistic abilities to the A&amp;R representatives of record labels. Many unsigned bands and artists record demos in order to obtain a recording contract. Whether you are a rock band, hip hop artist, singer, rapper, songwriter, producer, or musician,  your music demo submission may get you a record deal  with Phantom City Studio. ","
Prove your talent."," Record a music demo. The word demo is shortened from the word ""demonstration"". A demo is used to demonstrate your artistic abilities to the A&R representatives of record labels.

",Steps,How to Get a Record Deal With Phantom City Studio
" This article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo. The word demo is shortened from the word ""demonstration"". A music demo is used to demonstrate your artistic abilities to the A&amp;R representatives of record labels. Many unsigned bands and artists record demos in order to obtain a recording contract. Whether you are a rock band, hip hop artist, singer, rapper, songwriter, producer, or musician,  your music demo submission may get you a record deal  with Phantom City Studio. ","
Pick your best three to five songs for a demo submission."," ""A demo submission"" is the process where an artist will find a record label company and send out their best three to five songs (demo) in the hopes of ""getting signed"" (receiving a record deal after signing a recording contract).

",Steps,How to Get a Record Deal With Phantom City Studio
" This article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo. The word demo is shortened from the word ""demonstration"". A music demo is used to demonstrate your artistic abilities to the A&amp;R representatives of record labels. Many unsigned bands and artists record demos in order to obtain a recording contract. Whether you are a rock band, hip hop artist, singer, rapper, songwriter, producer, or musician,  your music demo submission may get you a record deal  with Phantom City Studio. ","
Write a brief bio."," Talk intelligently about your music, goals and where you fit with the label.

",Steps,How to Get a Record Deal With Phantom City Studio
" This article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo. The word demo is shortened from the word ""demonstration"". A music demo is used to demonstrate your artistic abilities to the A&amp;R representatives of record labels. Many unsigned bands and artists record demos in order to obtain a recording contract. Whether you are a rock band, hip hop artist, singer, rapper, songwriter, producer, or musician,  your music demo submission may get you a record deal  with Phantom City Studio. ","
Visit http://www.PhantomCityStudio.com/Demos for up-to-date information on how to properly submit your music demo.

",,Steps,How to Get a Record Deal With Phantom City Studio
" This article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo. The word demo is shortened from the word ""demonstration"". A music demo is used to demonstrate your artistic abilities to the A&amp;R representatives of record labels. Many unsigned bands and artists record demos in order to obtain a recording contract. Whether you are a rock band, hip hop artist, singer, rapper, songwriter, producer, or musician,  your music demo submission may get you a record deal  with Phantom City Studio. ","
Complete the demo submission process.

",,Steps,How to Get a Record Deal With Phantom City Studio
